trial_id,condition,iteration,trial_num,passed,model,n_turns,n_tool_calls,total_tokens,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,tokens_per_turn,duration_ms,wall_clock_seconds,total_cost_usd,agents_md_size_words,stop_reason,transcript_lines,timestamp
baseline-t1,baseline,0,1,true,claude-haiku-4-5-20251001,2,15,438452,118,3725,360449,74160,219226.0,7648,7.6,0.14748790000000003,30,end_turn,62,2026-03-25T05:21:11Z
improved-t1,improved,1,1,true,claude-haiku-4-5-20251001,4,26,782124,197,5479,716568,59880,195531.0,11697,11.7,0.1740988,73,end_turn,95,2026-03-25T05:21:41Z
baseline-t1,baseline,0,1,true,claude-haiku-4-5-20251001,14,13,263163,93,2845,251045,9180,18797.4,89353,89.4,0.05089749999999999,30,end_turn,49,2026-03-25T05:22:54Z
improved-t1,improved,1,1,true,claude-haiku-4-5-20251001,1,14,417220,108,3441,345814,67857,417220.0,4390,4.4,0.13671565,55,end_turn,64,2026-03-25T05:24:37Z
improved-t1,improved,3,1,true,claude-haiku-4-5-20251001,6,5,137901,44,1388,120353,16116,22983.5,78283,78.3,0.0391643,55,end_turn,26,2026-03-25T05:35:15Z
improved-t2,improved,3,2,true,claude-haiku-4-5-20251001,9,8,199413,65,2613,176377,20358,22157.0,85366,85.4,0.05621519999999999,55,end_turn,39,2026-03-25T05:35:15Z
improved-t3,improved,3,3,true,claude-haiku-4-5-20251001,4,5,185397,57,1382,158925,25033,46349.2,8515,8.5,0.05415075000000001,55,end_turn,31,2026-03-25T05:35:15Z
baseline-t1,baseline,2,1,true,claude-haiku-4-5-20251001,15,14,411094,107,2717,384612,23658,27406.3,112201,112.2,0.0817257,30,end_turn,57,2026-03-25T05:36:24Z
baseline-t2,baseline,2,2,true,claude-haiku-4-5-20251001,21,20,658410,149,3547,620733,33981,31352.9,113112,113.1,0.12243355000000002,30,end_turn,72,2026-03-25T05:36:24Z
baseline-t3,baseline,2,3,true,claude-haiku-4-5-20251001,11,10,192614,72,1871,174084,16587,17510.4,81148,81.1,0.04756915,30,end_turn,45,2026-03-25T05:36:24Z
